total_amount,generated_clients,attended_clients,clients_type1,clients_type2,clients_type3,clients_type4,final_time,avg_wait_seller,avg_wait_technician,avg_wait_special,avg_time_in_system,seller_utilization,technician_utilization,special_utilization,seller_idle_pct,technician_idle_pct,special_idle_pct
5900,22,22,11,4,3,4,477.5783901484258,0,0,0,17.368598906936537,11.047382639496309,18.122067652694874,3.1451100863818833,88.9526173605037,81.87793234730512,96.85488991361812
3750,22,22,14,5,1,2,484.2499747697849,0,0,0,21.996025919624696,10.441555334833286,26.426352918630787,0.6529493727209177,89.55844466516672,73.57364708136922,99.34705062727909
7000,20,20,8,5,0,7,465.1109358159519,0,0,0,16.85048595857747,11.11574894424489,15.992953424083222,0.0,88.88425105575512,84.00704657591677,100.0
5350,23,23,14,1,4,4,523.5918386687378,0,0,0,23.951852353831214,11.970957807141252,22.008025712584086,24.803299776739788,88.02904219285875,77.99197428741591,75.19670022326021
5050,22,22,10,8,3,1,590.9591074495106,0,0,0,22.83008104159086,11.748229021352843,23.9238674232359,9.36981112821137,88.25177097864716,76.0761325767641,90.63018887178863
5150,19,19,10,4,0,5,466.20518360704773,0,0,0,22.961732141412018,9.394229153208354,24.033910473335283,0.0,90.60577084679164,75.96608952666472,100.0
8550,23,23,7,8,1,7,491.9142572688597,0,0,0,25.901873664203972,11.648206887950483,33.51655802646323,0.2670567856867183,88.35179311204952,66.48344197353677,99.73294321431328
5550,24,24,14,3,3,4,496.7457984731181,0,0,0,23.20266120077404,11.709712574297113,21.56245942810577,25.5742722682411,88.29028742570289,78.43754057189423,74.4257277317589
6000,21,21,9,5,4,3,492.6300224899287,0,0,0,19.396939192138714,11.346927751409224,12.823212570053435,22.291692303503776,88.65307224859077,87.17678742994656,77.70830769649622
8050,22,22,8,3,5,6,483.15314121180603,0,0,0,26.30385320475174,11.222688274108354,29.572641512529312,9.396026102640846,88.77731172589165,70.42735848747068,90.60397389735915
6550,22,22,11,3,2,6,476.82430167899594,0,0,0,15.089253653439263,12.168452246369329,13.932848431004299,3.023629459178405,87.83154775363067,86.0671515689957,96.97637054082159
6400,22,22,11,4,1,6,482.7087830204012,0,0,0,18.916711361037482,12.464365671202215,18.84726532743937,5.231066413365902,87.53563432879778,81.15273467256063,94.76893358663409
6750,23,23,10,5,4,4,514.7054371520478,0,0,0,16.9631443224518,11.050538589427921,18.88332946734767,2.530667630849339,88.94946141057208,81.11667053265234,97.46933236915066
6150,24,24,13,4,2,5,479.2813651755802,0,0,0,16.939833295984663,11.546613584681923,17.43988211783853,9.286292957043866,88.45338641531808,82.56011788216148,90.71370704295613
4700,23,23,13,7,0,3,478.2823199472985,0,0,0,15.012378418432197,11.431849816932353,16.356871207040964,0.0,88.56815018306764,83.64312879295903,100.0
6100,22,22,10,6,2,4,488.78459623020115,0,0,0,19.153437228317017,12.372598142834274,20.36449149385709,1.947916529213179,87.62740185716572,79.63550850614291,98.05208347078683
4900,23,23,14,4,1,4,476.5127295581053,0,0,0,23.502182741111334,11.639219960228463,29.138620017423644,1.920325661763967,88.36078003977154,70.86137998257635,98.07967433823603
6300,23,23,10,8,1,4,477.1749978594775,0,0,0,20.460134781060027,11.831633080106256,24.75918149809573,0.0973351714128816,88.16836691989374,75.24081850190427,99.90266482858712
7200,22,22,8,7,2,5,540.0782628588526,0,0,0,21.41796926272065,11.379691754388556,22.572125608740702,7.689932119137111,88.62030824561144,77.4278743912593,92.31006788086289
5950,22,22,12,2,3,5,466.36243145599076,0,0,0,16.994648082279223,10.616027308087437,15.30905637388837,10.732913305939793,89.38397269191256,84.69094362611163,89.26708669406021
7450,22,22,5,12,2,3,503.8981925732475,0,0,0,27.33871140637725,11.742571932669524,30.98381255260166,8.86584575608505,88.25742806733048,69.01618744739834,91.13415424391495
6600,24,24,12,6,0,6,555.0211774179577,0,0,0,23.375870125612618,12.66972806750338,30.513298164352104,0.0,87.33027193249661,69.48670183564789,100.0
7350,21,21,7,6,3,5,494.4170351725981,0,0,0,22.740733229684317,9.949717571162047,24.648364465404583,5.646179341331045,90.05028242883796,75.35163553459542,94.35382065866895
9500,22,22,5,5,5,7,480.8116114225693,0,0,0,15.38094836840232,10.233762955306855,12.17537930703085,13.502349523471036,89.76623704469314,87.82462069296915,86.49765047652896
6800,22,22,8,8,2,4,471.6916700042119,0,0,0,21.16525929027613,12.2211583973761,22.127331770517188,6.18312630746184,87.7788416026239,77.87266822948281,93.81687369253817
6300,22,22,9,8,1,4,480.8433919991068,0,0,0,14.974790161470006,11.09968362448815,15.429118932195063,0.14773086117604192,88.90031637551185,84.57088106780493,99.85226913882396
8500,25,25,7,10,4,4,483.37729960971126,0,0,0,23.105525040833495,12.618400126541781,29.550922735390422,6.451707795086263,87.38159987345821,70.44907726460957,93.54829220491374
4650,21,21,12,4,2,3,482.46067680489466,0,0,0,19.181687199422672,11.855288768132253,19.398794068816137,2.012921754761256,88.14471123186775,80.60120593118387,97.98707824523875
7950,23,23,8,7,2,6,504.8579909548106,0,0,0,24.28704006889144,12.52818944288869,29.874592136234913,1.6952450356226882,87.47181055711131,70.12540786376509,98.30475496437731
7150,23,23,11,4,1,7,499.0615170480236,0,0,0,19.993367069004297,13.059601808309568,23.145158551949642,0.24687126651088248,86.94039819169043,76.85484144805037,99.75312873348912
7100,22,22,6,11,2,3,491.37832798265197,0,0,0,17.949611024584556,10.471823932846263,19.140636078211575,3.9034944290186084,89.52817606715374,80.85936392178843,96.09650557098139
4900,23,23,14,4,1,4,517.7156999238882,0,0,0,28.584723317193745,12.458601003621345,35.2338660757561,6.349665660375707,87.54139899637866,64.7661339242439,93.6503343396243
5600,22,22,11,6,1,4,513.1962287699976,0,0,0,20.99281987033252,11.902485624667246,23.484295530974794,1.9592332300985398,88.09751437533275,76.51570446902521,98.04076676990147
5600,24,24,15,1,3,5,471.7847375785886,0,0,0,12.71291018664388,11.84256307494553,11.050264365013124,6.7286316882889485,88.15743692505447,88.94973563498688,93.27136831171106
5500,21,21,10,5,3,3,493.80145876464195,0,0,0,17.257799955036226,11.045577079623143,14.05303323031407,11.252620953095015,88.95442292037686,85.94696676968593,88.74737904690498
8400,21,21,7,4,2,8,473.8220150639147,0,0,0,18.13179685266694,10.795817399633787,18.520011881848006,2.1749407856062506,89.20418260036621,81.479988118152,97.82505921439375
6350,21,21,9,6,1,5,486.78719311471093,0,0,0,19.07190857280323,12.288095017145901,18.60974290304507,3.034181262587114,87.7119049828541,81.39025709695493,96.96581873741289
6450,22,22,8,7,5,2,478.0914529132933,0,0,0,20.63110898520333,11.039424496948955,16.446723492961965,23.140230042731417,88.96057550305105,83.55327650703803,76.85976995726858
6600,23,23,10,6,3,4,488.0958141837943,0,0,0,13.947670520214928,11.433269506022915,11.496283155837105,9.47719942980604,88.56673049397709,88.5037168441629,90.52280057019397
7900,22,22,8,4,4,6,476.2198681880442,0,0,0,17.53411930870736,11.393894504845834,16.185446388486426,9.020585323091138,88.60610549515417,83.81455361151357,90.97941467690886
7200,22,22,8,7,2,5,599.2231313816691,0,0,0,22.336041287084647,11.69719828659249,23.001348628928948,9.975080105832834,88.3028017134075,76.99865137107105,90.02491989416717
5900,22,22,9,9,1,3,526.4214612352629,0,0,0,19.587019164489355,11.407768695294628,21.21186031389778,3.322719504960261,88.59223130470536,78.78813968610223,96.67728049503974
9400,23,23,8,4,1,10,514.6174708407996,0,0,0,15.010252675175366,11.851637170340055,15.157248254169922,2.74910829869208,88.14836282965994,84.84275174583007,97.25089170130792
6150,21,21,8,9,0,4,478.2730017037139,0,0,0,17.97614790710598,10.184859319505984,19.425309484858893,0.0,89.81514068049401,80.5746905151411,100.0
6000,21,21,9,5,4,3,481.6577143299588,0,0,0,20.9407849705934,11.707199852176513,18.28504253559508,13.346406935207849,88.29280014782348,81.71495746440492,86.65359306479215
5950,22,22,10,7,1,4,524.0731391407319,0,0,0,21.176675499407978,12.112701908344853,22.46903186866043,5.427263282948885,87.88729809165514,77.53096813133956,94.57273671705111
6450,21,21,7,7,5,2,464.7066440318443,0,0,0,16.848938390224696,11.013104797296666,12.164474370724106,15.194472750467394,88.98689520270334,87.83552562927589,84.8055272495326
7400,25,25,9,9,4,3,498.02145080514117,0,0,0,20.806933867464796,13.760947231361332,22.019935705336565,14.78774564764674,86.23905276863867,77.98006429466344,85.21225435235326
5700,22,22,10,7,2,3,496.9512282783629,0,0,0,24.73056544974398,12.060269977345987,24.73956508146485,13.562186912505867,87.93973002265402,75.26043491853515,86.43781308749413
7100,22,22,8,6,4,4,539.0944193659535,0,0,0,22.37111435848422,10.801757131388138,24.042880951478164,8.802117025841895,89.19824286861186,75.95711904852183,91.1978829741581
8950,24,24,8,7,1,8,499.9968132115405,0,0,0,21.125835847720538,12.90914767603963,26.546442380787955,0.17155674415954167,87.09085232396038,73.45355761921205,99.82844325584045
7900,24,24,7,9,5,3,482.3124275906837,0,0,0,26.581087643909022,12.552495243515056,23.23770793971053,26.95612286660596,87.44750475648495,76.76229206028947,73.04387713339403
6300,23,23,12,3,3,5,517.894946701897,0,0,0,26.198761618947664,11.34781315924046,29.40835860397343,14.615030627056333,88.65218684075954,70.59164139602657,85.38496937294367
7950,23,23,11,2,1,9,475.30965857430067,0,0,0,17.358895329428947,12.569401813829748,18.250947360910615,3.286394409789015,87.43059818617026,81.74905263908938,96.71360559021099
8300,23,23,7,8,2,6,466.49783630848617,0,0,0,17.91024456600266,14.010308276081709,16.349471725430476,8.750890150307905,85.9896917239183,83.65052827456952,91.24910984969209
4500,21,21,11,5,4,1,457.37508353764673,0,0,0,20.874767296359007,9.647306671182639,19.928467654468815,12.24709061579896,90.35269332881737,80.07153234553118,87.75290938420105
7050,22,22,7,8,4,3,478.554746043434,0,0,0,18.453491253065895,10.6853464830794,19.107369012598884,5.885701572596557,89.3146535169206,80.89263098740112,94.11429842740344
5850,22,22,10,6,3,3,471.7544132121629,0,0,0,21.69402780704123,10.771498044578001,25.35437436708517,1.8248415918608212,89.228501955422,74.64562563291483,98.17515840813918
7300,22,22,10,3,2,7,491.68577242558376,0,0,0,17.868074837079263,10.278052325287296,17.25592096859712,9.571475446914043,89.72194767471271,82.74407903140288,90.42852455308596
5350,23,23,11,6,5,1,537.2402650897044,0,0,0,24.77595903573943,12.372426287421495,28.494951856971053,8.4884289004953,87.62757371257851,71.50504814302894,91.51157109950469
5850,21,21,10,6,0,5,472.93203450362444,0,0,0,22.582581190478695,10.896689675458276,25.668471119142588,0.0,89.10331032454172,74.3315288808574,100.0
8000,23,23,9,5,2,7,473.2086985784059,0,0,0,20.11667117736097,12.421474508757273,22.527505400494977,3.9669175058551684,87.57852549124273,77.47249459950503,96.03308249414484
7900,22,22,8,4,4,6,525.1635227617115,0,0,0,18.451322746864303,10.442319660208403,14.51099195197338,19.325920263024734,89.5576803397916,85.48900804802662,80.67407973697527
